time,low,high,open,close,volume
2020-01-01 01:00:00,6406.0,6449.98,6406.18,6440.8,12.36533261
2020-01-01 02:00:00,6438.69,6471.44,6438.69,6467.24,8.405432
2020-01-01 03:00:00,6443.71,6468.27,6468.27,6445.35,4.87493798
2020-01-01 04:00:00,6435.53,6451.58,6444.17,6443.13,5.12236357
2020-01-01 05:00:00,6439.04,6449.67,6443.13,6443.64,2.67753614
2020-01-01 06:00:00,6442.57,6457.13,6447.57,6452.93,3.99060327
2020-01-01 07:00:00,6425.95,6457.91,6452.08,6433.27,19.62159627
2020-01-01 08:00:00,6389.51,6433.29,6433.27,6419.57,96.95647845
2020-01-01 09:00:00,6404.67,6420.0,6412.8,6406.04,9.92113728
2020-01-01 10:00:00,6404.5,6426.67,6405.0,6413.13,11.99669862
2020-01-01 11:00:00,6410.0,6441.22,6412.05,6410.01,15.90827748
2020-01-01 12:00:00,6407.0,6440.0,6410.0,6440.0,11.87000081
2020-01-01 13:00:00,6425.04,6440.0,6440.0,6431.77,14.33222785
2020-01-01 14:00:00,6420.24,6446.29,6431.77,6428.32,14.89264431
2020-01-01 15:00:00,6428.4,6467.21,6428.56,6445.85,18.52833774
2020-01-01 16:00:00,6431.32,6457.97,6443.15,6450.48,26.29101459
2020-01-01 17:00:00,6443.1,6463.85,6450.62,6455.97,20.68363259
2020-01-01 18:00:00,6440.75,6459.07,6455.0,6448.99,24.17149635
2020-01-01 19:00:00,6436.58,6449.0,6443.67,6440.89,13.08629335
2020-01-01 20:00:00,6435.63,6457.9,6437.09,6456.58,21.80757643
2020-01-01 21:00:00,6435.78,6457.78,6453.02,6450.46,48.73459026
2020-01-01 22:00:00,6402.42,6450.47,6443.39,6407.66,42.1255589
2020-01-01 23:00:00,6388.91,6411.32,6407.66,6410.22,13.27640552
2020-01-02 00:00:00,6401.03,6412.98,6410.23,6410.21,13.05146844
2020-01-02 01:00:00,6393.62,6412.65,6410.21,6396.66,12.73735387
2020-01-02 02:00:00,6370.0,6400.83,6400.83,6375.53,44.99327881
2020-01-02 03:00:00,6343.0,6375.53,6375.53,6347.8,19.88497755
2020-01-02 04:00:00,6343.0,6373.68,6343.0,6364.75,10.65629979
2020-01-02 05:00:00,6353.02,6378.44,6358.89,6353.57,12.75727827
2020-01-02 06:00:00,6343.45,6368.0,6359.95,6353.0,9.09191984
2020-01-02 07:00:00,6331.14,6359.65,6350.02,6342.72,49.43293404
2020-01-02 08:00:00,6333.21,6374.2,6333.21,6374.2,39.95177331
2020-01-02 09:00:00,6358.46,6386.66,6370.02,6384.6,53.22150473
2020-01-02 10:00:00,6375.09,6402.89,6380.28,6375.09,58.77386775
2020-01-02 11:00:00,6368.32,6380.92,6375.09,6376.69,55.55960746
2020-01-02 12:00:00,6373.67,6392.99,6376.69,6386.76,77.123779
2020-01-02 13:00:00,6335.66,6393.0,6382.2,6362.0,66.13158868
2020-01-02 14:00:00,6353.22,6394.99,6362.0,6386.49,31.88366557
2020-01-02 15:00:00,6358.44,6390.0,6381.44,6367.27,35.52968971
2020-01-02 16:00:00,6268.23,6375.87,6365.01,6306.45,133.73878737
2020-01-02 17:00:00,6191.61,6304.46,6300.02,6239.39,210.14311068
2020-01-02 18:00:00,6218.0,6254.57,6238.53,6246.72,60.60407202
2020-01-02 19:00:00,6230.06,6261.44,6243.5,6242.3,63.09838558
2020-01-02 20:00:00,6207.01,6242.3,6242.3,6215.05,60.48859221
2020-01-02 21:00:00,6210.45,6246.09,6214.96,6237.94,32.57100201
2020-01-02 22:00:00,6222.0,6242.44,6237.86,6231.07,34.58769942
2020-01-02 23:00:00,6215.25,6234.16,6230.78,6220.61,20.59573936
2020-01-03 00:00:00,6186.08,6226.45,6225.11,6199.0,20.57801518
2020-01-03 01:00:00,6150.0,6205.0,6196.19,6156.0,25.85436288
2020-01-03 02:00:00,6147.0,6225.05,6155.16,6220.88,15.6223313
2020-01-03 03:00:00,6208.14,6226.67,6221.78,6217.25,4.37226638
2020-01-03 04:00:00,6213.58,6523.1,6213.58,6451.48,214.81640078
2020-01-03 05:00:00,6408.86,6481.74,6451.46,6455.4,45.58585073
2020-01-03 06:00:00,6429.44,6457.26,6456.35,6446.34,57.63343877
2020-01-03 07:00:00,6441.01,6478.57,6441.01,6454.4,37.80976784
2020-01-03 08:00:00,6450.01,6545.0,6450.01,6502.58,94.4067823
2020-01-03 09:00:00,6503.38,6600.0,6503.39,6590.0,176.19320692
2020-01-03 10:00:00,6538.1,6623.88,6594.98,6562.97,99.07412496
2020-01-03 11:00:00,6556.01,6598.52,6558.83,6590.74,70.9235799
2020-01-03 12:00:00,6558.0,6600.0,6590.73,6574.42,50.64272742
2020-01-03 13:00:00,6562.44,6615.0,6570.04,6602.54,46.9890887
2020-01-03 14:00:00,6490.0,6599.27,6592.72,6510.0,125.0718724
2020-01-03 15:00:00,6502.31,6559.88,6510.0,6556.91,83.10073702
